animal_ID	breed	farm_ID	date_of_birth	lactation_rank	calving_date	calving_season	age_at_calving	PHYS	HYS	305d_milk	305d_fat	305d_protein
animal_32	SIM	farm_2	08/08/2011	2	07/05/2015	vara	1427	2-farm_2-2015-vara	farm_2-2015-vara	4816	161	172
animal_32	SIM	farm_2	08/08/2011	3	02/03/2016	iarna	1640	3-farm_2-2016-iarna	farm_2-2016-iarna	8831	330	320
animal_32	SIM	farm_2	08/08/2011	1	11/19/2013	iarna	834	1-farm_2-2013-iarna	farm_2-2013-iarna	7855	416	255
animal_152	SIM	farm_2	08/08/2011	3	01/04/2016	iarna	1610	3-farm_2-2016-iarna	farm_2-2016-iarna	9016	358	332
animal_152	SIM	farm_2	08/08/2011	2	01/08/2015	iarna	1249	2-farm_2-2015-iarna	farm_2-2015-iarna	7303	259	249
animal_152	SIM	farm_2	08/08/2011	1	10/18/2013	iarna	802	1-farm_2-2013-iarna	farm_2-2013-iarna	6708	413	204
animal_153	SIM	farm_2	05/18/2011	1	12/11/2013	iarna	938	1-farm_2-2013-iarna	farm_2-2013-iarna	6174	342	204
animal_165	SIM	farm_2	06/21/2011	2	01/30/2015	iarna	1319	2-farm_2-2015-iarna	farm_2-2015-iarna	8064	287	281
animal_165	SIM	farm_2	06/21/2011	3	01/28/2016	iarna	1682	3-farm_2-2016-iarna	farm_2-2016-iarna	7866	326	287
animal_289	SIM	farm_2	06/29/2011	3	09/22/2015	vara	1546	3-farm_2-2015-vara	farm_2-2015-vara	7203	287	255
animal_289	SIM	farm_2	06/29/2011	2	11/27/2014	iarna	1247	2-farm_2-2014-iarna	farm_2-2014-iarna	4849	204	159
animal_298	SIM	farm_2	05/04/2011	3	09/03/2015	vara	1583	3-farm_2-2015-vara	farm_2-2015-vara	7838	298	302
animal_298	SIM	farm_2	05/04/2011	2	11/03/2014	iarna	1279	2-farm_2-2014-iarna	farm_2-2014-iarna	5636	250	181
animal_303	SIM	farm_2	10/07/2011	3	11/06/2015	iarna	1491	3-farm_2-2015-iarna	farm_2-2015-iarna	10162	386	341
animal_303	SIM	farm_2	10/07/2011	1	11/15/2013	iarna	770	1-farm_2-2013-iarna	farm_2-2013-iarna	5629	297	150
animal_330	SIM	farm_2	10/23/2011	2	09/07/2015	vara	1415	2-farm_2-2015-vara	farm_2-2015-vara	9092	333	313
animal_330	SIM	farm_2	10/23/2011	1	10/16/2014	iarna	1089	1-farm_2-2014-iarna	farm_2-2014-iarna	2465	122	80
animal_426	SIM	farm_2	05/11/2011	3	01/06/2016	iarna	1701	3-farm_2-2016-iarna	farm_2-2016-iarna	8291	321	311
animal_426	SIM	farm_2	05/11/2011	1	12/02/2013	iarna	936	1-farm_2-2013-iarna	farm_2-2013-iarna	7098	363	236
animal_609	SIM	farm_2	06/04/2011	2	09/16/2014	vara	1200	2-farm_2-2014-vara	farm_2-2014-vara	8693	332	288
animal_737	SIM	farm_2	01/16/2011	1	10/06/2013	iarna	994	1-farm_2-2013-iarna	farm_2-2013-iarna	7691	397	256
animal_744	SIM	farm_2	08/20/2011	3	12/15/2015	iarna	1578	3-farm_2-2015-iarna	farm_2-2015-iarna	8446	319	296
animal_744	SIM	farm_2	08/20/2011	1	09/01/2013	vara	743	1-farm_2-2013-vara	farm_2-2013-vara	8368	351	256
animal_955	SIM	farm_2	05/19/2011	2	11/17/2014	iarna	1278	2-farm_2-2014-iarna	farm_2-2014-iarna	5345	203	180
animal_955	SIM	farm_2	05/19/2011	1	10/23/2013	iarna	888	1-farm_2-2013-iarna	farm_2-2013-iarna	5501	262	139
animal_1038	SIM	farm_2	03/16/2011	1	10/14/2013	iarna	943	1-farm_2-2013-iarna	farm_2-2013-iarna	7440	342	226
animal_1059	SIM	farm_2	05/22/2011	2	11/03/2014	iarna	1261	2-farm_2-2014-iarna	farm_2-2014-iarna	8001	281	272
animal_1105	SIM	farm_2	02/14/2011	3	09/17/2015	vara	1676	3-farm_2-2015-vara	farm_2-2015-vara	7398	286	269
animal_1105	SIM	farm_2	02/14/2011	2	11/11/2014	iarna	1366	2-farm_2-2014-iarna	farm_2-2014-iarna	5781	181	195
animal_2556	SIM	farm_1	09/01/2010	2	09/01/2013	vara	1096	2-farm_1-2013-vara	farm_1-2013-vara	3546	115	124
animal_2557	SIM	farm_1	04/01/2009	1	02/01/2012	iarna	1036	1-farm_1-2012-iarna	farm_1-2012-iarna	2753	85	93
animal_2569	SIM	farm_1	01/11/2007	3	06/25/2011	vara	1626	3-farm_1-2011-vara	farm_1-2011-vara	4004	137	132
animal_2571	SIM	farm_1	05/11/2007	3	12/14/2011	iarna	1678	3-farm_1-2011-iarna	farm_1-2011-iarna	4900	186	182
animal_2572	SIM	farm_1	05/20/2007	2	05/08/2011	vara	1449	2-farm_1-2011-vara	farm_1-2011-vara	5443	253	190
animal_2573	SIM	farm_1	03/17/2008	3	01/31/2013	iarna	1781	3-farm_1-2013-iarna	farm_1-2013-iarna	7061	262	226
animal_2573	SIM	farm_1	03/17/2008	2	01/10/2012	iarna	1394	2-farm_1-2012-iarna	farm_1-2012-iarna	7178	224	209
animal_2574	SIM	farm_1	04/24/2008	3	12/28/2012	iarna	1709	3-farm_1-2012-iarna	farm_1-2012-iarna	5172	202	194
animal_2574	SIM	farm_1	04/24/2008	2	09/04/2011	vara	1228	2-farm_1-2011-vara	farm_1-2011-vara	5767	240	204
animal_2575	SIM	farm_1	06/13/2008	3	10/02/2012	iarna	1572	3-farm_1-2012-iarna	farm_1-2012-iarna	4374	168	152
animal_2575	SIM	farm_1	06/13/2008	2	01/01/2012	iarna	1297	2-farm_1-2012-iarna	farm_1-2012-iarna	3492	137	124
animal_2576	SIM	farm_1	06/14/2008	3	10/02/2012	iarna	1571	3-farm_1-2012-iarna	farm_1-2012-iarna	5451	251	186
animal_2576	SIM	farm_1	06/14/2008	2	10/01/2011	iarna	1204	2-farm_1-2011-iarna	farm_1-2011-iarna	3206	156	116
animal_2578	SIM	farm_1	10/28/2008	3	05/24/2013	vara	1669	3-farm_1-2013-vara	farm_1-2013-vara	4855	210	177
animal_2578	SIM	farm_1	10/28/2008	2	04/03/2012	vara	1253	2-farm_1-2012-vara	farm_1-2012-vara	5835	249	201
animal_2578	SIM	farm_1	10/28/2008	1	01/26/2011	iarna	820	1-farm_1-2011-iarna	farm_1-2011-iarna	5513	244	185
animal_2579	SIM	farm_1	11/11/2008	2	08/22/2012	vara	1380	2-farm_1-2012-vara	farm_1-2012-vara	5705	250	182
animal_2579	SIM	farm_1	11/11/2008	1	04/22/2011	vara	892	1-farm_1-2011-vara	farm_1-2011-vara	5430	223	188
animal_2580	SIM	farm_1	11/20/2008	2	03/12/2012	iarna	1208	2-farm_1-2012-iarna	farm_1-2012-iarna	7054	215	218
animal_2580	SIM	farm_1	11/20/2008	3	02/11/2013	iarna	1544	3-farm_1-2013-iarna	farm_1-2013-iarna	6237	203	197
animal_2581	SIM	farm_1	12/04/2008	1	04/27/2011	vara	874	1-farm_1-2011-vara	farm_1-2011-vara	5987	238	204
animal_2581	SIM	farm_1	12/04/2008	2	11/07/2012	iarna	1434	2-farm_1-2012-iarna	farm_1-2012-iarna	6854	265	232
animal_2582	SIM	farm_1	04/23/2009	1	09/21/2011	vara	881	1-farm_1-2011-vara	farm_1-2011-vara	4888	206	157
animal_2582	SIM	farm_1	04/23/2009	3	07/08/2013	vara	1537	3-farm_1-2013-vara	farm_1-2013-vara	4668	199	161
animal_2583	SIM	farm_1	06/17/2009	2	01/09/2013	iarna	1302	2-farm_1-2013-iarna	farm_1-2013-iarna	6212	250	204
animal_2583	SIM	farm_1	06/17/2009	1	12/16/2011	iarna	912	1-farm_1-2011-iarna	farm_1-2011-iarna	4867	205	167
animal_2584	SIM	farm_1	09/27/2009	2	11/02/2012	iarna	1132	2-farm_1-2012-iarna	farm_1-2012-iarna	5589	213	182
animal_2584	SIM	farm_1	09/27/2009	3	11/08/2013	iarna	1503	3-farm_1-2013-iarna	farm_1-2013-iarna	4471	193	148
animal_2585	SIM	farm_1	11/30/2009	1	02/23/2012	iarna	815	1-farm_1-2012-iarna	farm_1-2012-iarna	6000	258	201
animal_2585	SIM	farm_1	11/30/2009	2	07/23/2013	vara	1331	2-farm_1-2013-vara	farm_1-2013-vara	4190	173	144
animal_2587	SIM	farm_1	05/19/2010	2	01/24/2014	iarna	1346	2-farm_1-2014-iarna	farm_1-2014-iarna	5261	207	174
animal_2587	SIM	farm_1	05/19/2010	1	12/17/2012	iarna	943	1-farm_1-2012-iarna	farm_1-2012-iarna	5290	200	174
animal_2589	SIM	farm_1	01/04/2010	1	06/22/2012	vara	900	1-farm_1-2012-vara	farm_1-2012-vara	4575	190	149
animal_2590	SIM	farm_1	02/17/2010	3	01/26/2014	iarna	1439	3-farm_1-2014-iarna	farm_1-2014-iarna	5803	239	194
animal_2590	SIM	farm_1	02/17/2010	2	03/04/2013	iarna	1111	2-farm_1-2013-iarna	farm_1-2013-iarna	6135	243	196
animal_2590	SIM	farm_1	02/17/2010	1	03/02/2012	iarna	744	1-farm_1-2012-iarna	farm_1-2012-iarna	5846	244	192
