long_ID	dam	sire
animal_14	0	0
animal_15	0	0
animal_16	0	0
animal_17	animal_905	animal_649
animal_649	animal_438	animal_1327
animal_438	animal_280	0
animal_280	0	0
animal_20	animal_778	animal_735
animal_735	animal_275	animal_335
animal_275	animal_179	animal_1955
animal_335	animal_259	animal_1754
animal_179	0	animal_1948
animal_259	animal_239	animal_925
animal_1754	0	0
animal_239	0	0
animal_925	animal_786	animal_2372
animal_786	0	0
animal_2372	0	0
animal_22	animal_568	animal_647
animal_647	animal_441	animal_1438
animal_441	0	animal_719
animal_1438	animal_1431	animal_1394
animal_1431	0	animal_1561
animal_23	animal_1099	animal_206
animal_206	animal_675	animal_719
animal_675	0	0
animal_719	animal_606	animal_1939
animal_606	0	0
animal_25	0	0
animal_29	animal_607	animal_594
animal_594	animal_134	animal_87
animal_87	animal_782	animal_1857
animal_134	animal_75	animal_1023
animal_75	0	0
animal_782	0	0
animal_1023	0	animal_1032
animal_30	0	0
animal_31	animal_127	animal_1381
animal_1381	animal_1377	animal_1453
animal_1377	animal_1361	animal_1559
animal_1453	animal_1856	animal_1850
animal_1361	0	animal_1861
animal_1850	0	animal_1953
animal_1856	0	animal_1818
animal_32	animal_419	animal_872
animal_872	animal_342	animal_2065
animal_342	animal_724	animal_623
animal_724	0	0
animal_33	animal_758	animal_823
animal_823	0	0
animal_37	0	animal_708
animal_708	animal_212	animal_1420
animal_212	0	animal_367
animal_1420	animal_1822	animal_1845
animal_1822	0	animal_1825
animal_40	animal_1118	animal_914
animal_914	animal_1011	animal_358
animal_358	animal_503	animal_1630
animal_1011	0	animal_48
animal_1630	animal_1926	animal_1887
animal_1887	0	animal_2369
animal_1926	0	animal_1949
animal_42	0	animal_766
animal_766	animal_620	animal_48
animal_620	0	0
animal_45	0	0
animal_49	animal_420	animal_788
animal_788	animal_315	animal_1453
animal_315	0	animal_1032
animal_50	animal_405	animal_818
animal_818	animal_628	animal_1420
animal_628	animal_580	animal_414
animal_580	0	0
animal_54	0	0
animal_56	0	animal_248
animal_248	animal_363	animal_589
animal_363	0	0
animal_589	animal_501	animal_1444
animal_501	0	animal_414
animal_57	0	animal_247
animal_247	animal_1120	animal_1717
animal_1120	animal_1102	animal_1294
animal_1717	animal_1783	animal_1848
animal_1102	0	0
animal_1294	0	0
animal_1783	animal_2347	animal_1825
animal_1848	animal_1831	animal_1838
animal_1831	0	0
animal_2347	0	0
animal_62	0	0
animal_67	0	0
animal_69	animal_625	animal_409
animal_409	animal_257	animal_1632
animal_257	0	0
animal_1632	animal_1924	animal_1898
animal_1924	0	animal_2369
animal_71	animal_631	animal_725
animal_725	animal_619	animal_1939
animal_619	animal_461	animal_633
animal_461	0	0
animal_72	animal_54	animal_1474
animal_1474	animal_1462	animal_1618
animal_1462	animal_1451	animal_1939
animal_1451	0	0
animal_78	0	animal_1936
animal_1936	animal_1927	animal_1842
animal_1842	animal_1837	animal_2369
animal_1927	animal_1921	animal_714
animal_714	animal_65	animal_2361
animal_1837	0	animal_2370
animal_1921	0	animal_2369
animal_2369	0	0
animal_65	animal_59	animal_46
animal_2361	animal_2360	animal_2364
animal_46	0	0
animal_59	0	0
animal_2360	0	0
animal_2364	0	0
animal_81	0	0
animal_82	animal_602	animal_233
animal_233	animal_277	animal_1453
animal_277	animal_502	animal_1955
animal_502	0	animal_633
animal_84	animal_635	animal_466
animal_466	animal_79	animal_48
animal_79	0	animal_1939
animal_85	animal_629	animal_1565
animal_1565	animal_1563	animal_1932
animal_1563	animal_1763	animal_1906
animal_1932	animal_1920	animal_1198
animal_1198	0	0
animal_1763	0	0
animal_1906	animal_1904	0
animal_1920	0	animal_2370
animal_1904	0	animal_2369
animal_86	animal_585	animal_2050
animal_2050	animal_1374	animal_1705
animal_1374	0	animal_1823
animal_1705	animal_1696	animal_1444
animal_1696	animal_1808	animal_1853
animal_1823	0	animal_1825
animal_1808	0	0
animal_1853	animal_1965	animal_1198
animal_1965	0	animal_2369
animal_88	animal_387	animal_1407
animal_1407	animal_1393	animal_1632
animal_1393	0	animal_1932
animal_90	animal_474	animal_390
animal_390	animal_525	animal_1632
animal_525	0	animal_1845
animal_91	0	0
animal_93	animal_81	animal_390
animal_99	animal_759	animal_649
animal_100	animal_546	animal_373
animal_373	animal_333	animal_1898
animal_333	animal_211	animal_24
animal_1898	animal_1895	animal_1949
animal_24	0	0
animal_211	0	0
animal_1895	0	0
animal_1949	0	0
animal_103	0	0
animal_104	animal_353	animal_753
animal_753	animal_593	animal_48
animal_593	0	0
animal_105	0	animal_1936
animal_111	0	animal_725
animal_113	animal_100	animal_473
animal_473	animal_108	animal_1565
animal_108	animal_28	animal_1939
animal_28	0	0
animal_114	animal_537	animal_649
animal_115	animal_773	animal_818
animal_116	0	0
animal_118	animal_678	animal_1561
animal_1561	animal_1768	animal_1327
animal_1768	0	0
animal_119	animal_741	animal_648
animal_648	animal_442	animal_738
animal_442	0	0
animal_738	animal_971	animal_1453
animal_971	animal_1064	animal_1444
animal_1064	0	0
animal_122	animal_40	animal_964
animal_964	animal_256	animal_1438
animal_256	0	animal_818
animal_123	animal_617	animal_740
animal_740	animal_477	animal_1717
animal_477	animal_273	animal_1865
animal_1865	0	0
animal_124	0	0
animal_125	0	animal_418
animal_418	animal_272	animal_1362
animal_272	animal_467	animal_1292
animal_1362	0	animal_1933
animal_1292	0	animal_1277
animal_1933	animal_1921	animal_1825
animal_1277	0	animal_2369
animal_126	animal_634	animal_233
animal_127	0	0
animal_131	0	0
animal_132	animal_236	animal_1029
animal_1029	animal_460	animal_1407
animal_460	animal_302	animal_48
animal_302	0	0
animal_137	animal_253	animal_469
animal_469	animal_326	animal_48
animal_326	animal_260	animal_382
animal_260	0	0
animal_140	0	0
animal_141	animal_538	animal_381
animal_381	animal_107	animal_1291
animal_107	animal_911	0
