animal_ID	breed	year_of_birth	lactation_rank	days_in_milk	PHYS	HYS	age_at_calving	farm_ID	MY	FY	PY	FP	PP
animal_15	SIM	2011	3	728	3-farm_2-2015-iarna	farm_2-2015-iarna	55	farm_2	30.24	1.212624	1.010016	4.01	3.34
animal_15	SIM	2011	3	446	3-farm_2-2015-iarna	farm_2-2015-iarna	55	farm_2	26.0	0.884	0.832	3.4	3.2
animal_15	SIM	2011	3	390	3-farm_2-2015-iarna	farm_2-2015-iarna	55	farm_2	12.0	0.3852	0.4656	3.21	3.88
animal_15	SIM	2011	3	418	3-farm_2-2015-iarna	farm_2-2015-iarna	55	farm_2	24.6	0.9348	1.0332	3.8	4.2
animal_15	SIM	2011	3	250	3-farm_2-2015-iarna	farm_2-2015-iarna	55	farm_2	14.0	0.4466	0.5432	3.19	3.88
animal_15	SIM	2011	3	476	3-farm_2-2015-iarna	farm_2-2015-iarna	55	farm_2	12.0	0.384	0.4644	3.2	3.87
animal_15	SIM	2011	3	560	3-farm_2-2015-iarna	farm_2-2015-iarna	55	farm_2	20.4	0.82212	0.73236	4.03	3.59
animal_15	SIM	2011	3	504	3-farm_2-2015-iarna	farm_2-2015-iarna	55	farm_2	21.0	0.7665	0.7476	3.65	3.56
animal_32	SIM	2011	2	37	2-farm_2-2015-vara	farm_2-2015-vara	47	farm_2	20.2	0.8989	0.5252	4.45	2.6
animal_32	SIM	2011	3	300	3-farm_2-2016-iarna	farm_2-2016-iarna	54	farm_2	28.0	0.952	1.176	3.4	4.2
animal_32	SIM	2011	3	328	3-farm_2-2016-iarna	farm_2-2016-iarna	54	farm_2	24.0	1.08	0.984	4.5	4.1
animal_32	SIM	2011	1	518	1-farm_2-2013-iarna	farm_2-2013-iarna	27	farm_2	18.2	0.87178	0.65702	4.79	3.61
animal_32	SIM	2011	1	574	1-farm_2-2013-iarna	farm_2-2013-iarna	27	farm_2	11.6	0.34104	0.31668	2.94	2.73
animal_32	SIM	2011	1	72	1-farm_2-2013-iarna	farm_2-2013-iarna	27	farm_2	14.6	0.6643	0.41756	4.55	2.86
animal_32	SIM	2011	3	442	3-farm_2-2016-iarna	farm_2-2016-iarna	54	farm_2	20.8	0.86736	0.70512	4.17	3.39
animal_32	SIM	2011	3	358	3-farm_2-2016-iarna	farm_2-2016-iarna	54	farm_2	13.0	0.4147	0.5031	3.19	3.87
animal_32	SIM	2011	2	65	2-farm_2-2015-vara	farm_2-2015-vara	47	farm_2	29.2	0.96068	1.08916	3.29	3.73
animal_32	SIM	2011	2	121	2-farm_2-2015-vara	farm_2-2015-vara	47	farm_2	24.8	0.92008	0.87048	3.71	3.51
animal_32	SIM	2011	2	9	2-farm_2-2015-vara	farm_2-2015-vara	47	farm_2	13.6	0.57664	0.48688	4.24	3.58
animal_32	SIM	2011	3	244	3-farm_2-2016-iarna	farm_2-2016-iarna	54	farm_2	23.4	0.84474	0.8424	3.61	3.6
animal_32	SIM	2011	3	132	3-farm_2-2016-iarna	farm_2-2016-iarna	54	farm_2	30.2	1.17478	0.97546	3.89	3.23
animal_32	SIM	2011	3	76	3-farm_2-2016-iarna	farm_2-2016-iarna	54	farm_2	32.8	1.26608	1.22672	3.86	3.74
animal_32	SIM	2011	1	490	1-farm_2-2013-iarna	farm_2-2013-iarna	27	farm_2	25.0	1.1775	0.8875	4.71	3.55
animal_32	SIM	2011	1	167	1-farm_2-2013-iarna	farm_2-2013-iarna	27	farm_2	25.6	1.44896	0.68096	5.66	2.66
animal_32	SIM	2011	1	546	1-farm_2-2013-iarna	farm_2-2013-iarna	27	farm_2	26.6	1.23956	0.98686	4.66	3.71
animal_152	SIM	2011	3	50	3-farm_2-2016-iarna	farm_2-2016-iarna	53	farm_2	16.0	0.832	0.6544	5.2	4.09
animal_152	SIM	2011	3	612	3-farm_2-2016-iarna	farm_2-2016-iarna	53	farm_2	12.0	0.42	0.3744	3.5	3.12
animal_152	SIM	2011	2	299	2-farm_2-2015-iarna	farm_2-2015-iarna	41	farm_2	24.8	0.93744	0.87792	3.78	3.54
animal_152	SIM	2011	3	388	3-farm_2-2016-iarna	farm_2-2016-iarna	53	farm_2	14.0	0.448	0.5418	3.2	3.87
animal_152	SIM	2011	3	584	3-farm_2-2016-iarna	farm_2-2016-iarna	53	farm_2	28.0	0.9968	1.12	3.56	4.0
animal_152	SIM	2011	3	500	3-farm_2-2016-iarna	farm_2-2016-iarna	53	farm_2	14.0	0.399	0.4396	2.85	3.14
animal_152	SIM	2011	3	668	3-farm_2-2016-iarna	farm_2-2016-iarna	53	farm_2	32.0	1.056	1.12	3.3	3.5
animal_152	SIM	2011	3	358	3-farm_2-2016-iarna	farm_2-2016-iarna	53	farm_2	16.0	0.528	0.56	3.3	3.5
animal_152	SIM	2011	3	556	3-farm_2-2016-iarna	farm_2-2016-iarna	53	farm_2	30.0	0.678	0.942	2.26	3.14
animal_152	SIM	2011	3	162	3-farm_2-2016-iarna	farm_2-2016-iarna	53	farm_2	27.6	1.12332	0.88872	4.07	3.22
animal_152	SIM	2011	3	640	3-farm_2-2016-iarna	farm_2-2016-iarna	53	farm_2	13.46	0.617814	0.446872	4.59	3.32
animal_152	SIM	2011	3	528	3-farm_2-2016-iarna	farm_2-2016-iarna	53	farm_2	30.0	1.269	1.14	4.23	3.8
animal_152	SIM	2011	3	749	3-farm_2-2016-iarna	farm_2-2016-iarna	53	farm_2	28.8	1.296	0.88704	4.5	3.08
animal_152	SIM	2011	3	106	3-farm_2-2016-iarna	farm_2-2016-iarna	53	farm_2	31.2	1.41336	1.18248	4.53	3.79
animal_152	SIM	2011	2	243	2-farm_2-2015-iarna	farm_2-2015-iarna	41	farm_2	16.8	0.51408	0.61824	3.06	3.68
animal_152	SIM	2011	3	834	3-farm_2-2016-iarna	farm_2-2016-iarna	53	farm_2	32.0	1.4112	1.1872	4.41	3.71
animal_152	SIM	2011	3	696	3-farm_2-2016-iarna	farm_2-2016-iarna	53	farm_2	14.0	0.476	0.574	3.4	4.1
animal_152	SIM	2011	2	215	2-farm_2-2015-iarna	farm_2-2015-iarna	41	farm_2	22.0	0.6358	0.5808	2.89	2.64
animal_152	SIM	2011	2	159	2-farm_2-2015-iarna	farm_2-2015-iarna	41	farm_2	13.0	0.4173	0.3679	3.21	2.83
animal_152	SIM	2011	2	75	2-farm_2-2015-iarna	farm_2-2015-iarna	41	farm_2	29.6	1.38232	1.036	4.67	3.5
animal_152	SIM	2011	3	778	3-farm_2-2016-iarna	farm_2-2016-iarna	53	farm_2	27.6	0.55476	0.90528	2.01	3.28
animal_152	SIM	2011	3	806	3-farm_2-2016-iarna	farm_2-2016-iarna	53	farm_2	20.8	0.98176	0.73008	4.72	3.51
animal_152	SIM	2011	2	103	2-farm_2-2015-iarna	farm_2-2015-iarna	41	farm_2	28.6	1.20406	0.9867	4.21	3.45
animal_152	SIM	2011	1	134	1-farm_2-2013-iarna	farm_2-2013-iarna	26	farm_2	17.8	0.9078	0.55358	5.1	3.11
animal_152	SIM	2011	2	187	2-farm_2-2015-iarna	farm_2-2015-iarna	41	farm_2	21.8	0.82404	0.76082	3.78	3.49
animal_152	SIM	2011	2	131	2-farm_2-2015-iarna	farm_2-2015-iarna	41	farm_2	13.2	0.50028	0.48576	3.79	3.68
